"id";"city";"area_sqkm";"population";"pop_per_sqkm";"fountains_osm";"fountains_per_1000";"fountains_official";"mean_quality";"official_vs_osm"
"46";46;"Mülheim an der Ruhr";91.28;170739;1870;9;0.05;NA;0.556;NA
"47";47;"Oldenburg (Oldenburg)";103.09;170389;1653;5;0.03;NA;0.198;NA
"48";48;"Osnabrück";119.8;165034;1378;1;0.01;NA;0;NA
"49";49;"Leverkusen";78.87;163851;2077;15;0.09;NA;0.022;NA
"50";50;"Darmstadt";122.07;159631;1308;28;0.18;NA;0.036;NA
"51";51;"Heidelberg";108.83;159245;1463;43;0.27;NA;0.193;NA
"52";52;"Solingen";89.54;158957;1775;10;0.06;NA;0.033;NA
"53";53;"Herne";51.42;156621;3046;3;0.02;NA;0.333;NA
"54";54;"Regensburg";80.86;153542;1899;11;0.07;NA;0.304;NA
"55";55;"Neuss";99.52;152731;1535;9;0.06;NA;0.297;NA
"56";56;"Paderborn";179.59;152531;849;1;0.01;NA;0;NA
"57";57;"Ingolstadt";133.35;138016;1035;5;0.04;NA;0.266;NA
"58";58;"Offenbach am Main";44.88;131295;2925;1;0.01;NA;0.67;NA
"59";59;"Fürth";63.35;129122;2038;5;0.04;NA;0.6;NA
"60";60;"Ulm";118.68;126949;1070;11;0.09;NA;0.21;NA
"61";61;"Würzburg";87.6;126933;1449;1;0.01;NA;0;NA
"62";62;"Heilbronn";99.89;125613;1258;5;0.04;NA;0.132;NA
"63";63;"Pforzheim";97.99;125529;1281;9;0.07;NA;0.073;NA
"64";64;"Wolfsburg";204.62;123949;606;19;0.15;NA;0.07;NA
"65";65;"Bottrop";100.62;117311;1166;1;0.01;NA;0;NA
"66";66;"Göttingen";117.02;116557;996;4;0.03;NA;0.082;NA
"67";67;"Reutlingen";87.04;116456;1338;2;0.02;NA;0;NA
"68";68;"Koblenz";105.25;113638;1080;21;0.18;NA;0.032;NA
"69";69;"Erlangen";76.96;113292;1472;8;0.07;NA;0.041;NA
"70";70;"Bremerhaven";101.53;113173;1115;NA;NA;NA;NA;NA
"71";71;"Remscheid";74.52;111770;1500;2;0.02;NA;0.5;NA
"72";72;"Bergisch Gladbach";83.09;111645;1344;13;0.12;NA;0.025;NA
"73";73;"Recklinghausen";66.5;110714;1665;NA;NA;NA;NA;NA
"74";74;"Trier";117.06;110570;945;10;0.09;NA;0.233;NA
"75";75;"Jena";114.77;110502;963;3;0.03;NA;0;NA
"76";76;"Moers";67.68;103725;1533;NA;NA;NA;NA;NA
"77";77;"Salzgitter";224.49;103694;462;NA;NA;NA;NA;NA
"78";78;"Siegen";114.69;101516;885;5;0.05;NA;0;NA
"79";79;"Gütersloh";112.02;101158;903;2;0.02;NA;0.33;NA
"80";80;"Hildesheim";92.29;100319;1087;NA;NA;NA;NA;NA
"81";81;"Kaiserslautern";139.7;99292;711;2;0.02;NA;0.5;NA
"82";82;"Hanau";76.47;98502;1288;1;0.01;NA;0;NA
"83";83;"Cottbus/Chóśebuz";165.62;98359;594;NA;NA;NA;NA;NA
"84";84;"Schwerin";130.52;95740;734;3;0.03;NA;0.447;NA
"85";85;"Witten";72.4;95107;1314;1;0.01;NA;0;NA
"86";86;"Ludwigsburg";43.34;93117;2149;3;0.03;NA;0.89;NA
"87";87;"Esslingen am Neckar";46.43;92640;1995;2;0.02;NA;0.165;NA
"88";88;"Tübingen";108.06;91877;850;21;0.23;NA;0.095;NA
"89";89;"Iserlohn";125.49;91873;732;2;0.02;NA;0.33;NA
"90";90;"Düren";85.01;91814;1080;2;0.02;NA;0.33;NA
"91";91;"Gera";152.18;91368;600;4;0.04;NA;0;NA
"92";92;"Gießen";72.61;91255;1257;58;0.64;NA;0.011;NA
"93";93;"Flensburg";56.73;91113;1606;2;0.02;NA;0.335;NA
"94";94;"Zwickau";102.58;86592;844;2;0.02;NA;0.5;NA
"95";95;"Villingen-Schwenningen";165.53;86475;522;17;0.2;NA;0.138;NA
